STOK KODU,STOK ADI,SEKTÖR ADI,MARKA,BARKOD 1,ÜRÜN GRUP KODU,AKS,CİNSİYET,UNIQ KOD,UNIQ ADI
SLY180714,SISLEYA LE TEINT  N°2B LINEN  30 ML,SELEKTIF TEKLİ,SISLEY,3473311807144,1-MA-00,MAKYAJ,KADIN,SSL0000000126,SISLEYA LE TEINT  N°2B LINEN
SLY180715,SISLEYA LE TEINT  N°3R PEACH 30 ML,SELEKTIF TEKLİ,SISLEY,3473311807151,1-MA-00,MAKYAJ,KADIN,SSL0000000127,SISLEYA LE TEINT  N°3R PEACH
SLY180905,PHYTO-TEINT NUDE 1C PETAL,SELEKTIF TEKLİ,SISLEY,3473311809056,1-MA-00,MAKYAJ,KADIN,,
SLY180908,PHYTO-TEINT NUDE 2N IVORY BEIGE,SELEKTIF TEKLİ,SISLEY,3473311809087,1-MA-00,MAKYAJ,KADIN,,
SLY180909,PHYTO-TEINT NUDE 2W1 LIGHT BEIGE,SELEKTIF TEKLİ,SISLEY,3473311809094,1-MA-00,MAKYAJ,KADIN,,
SLY180910,PHYTO-TEINT NUDE 3C NATURAL,SELEKTIF TEKLİ,SISLEY,3473311809100,1-MA-00,MAKYAJ,KADIN,,
SLY180911,PHYTO-TEINT NUDE 2C SOFT BEIGE,SELEKTIF TEKLİ,SISLEY,3473311809117,1-MA-00,MAKYAJ,KADIN,,
SLY180925,PHYTO-TEINT NUDE 1N IVORY,SELEKTIF TEKLİ,SISLEY,3473311809254,1-MA-00,MAKYAJ,KADIN,,
SLY181505,L'ORCHIDEE N°1 - BLUSH  15 GR,SELEKTIF TEKLİ,SISLEY,3473311815057,1-MA-00,MAKYAJ,KADIN,SSL0000000136,L'ORCHIDEE N°1 - BLUSH 
SLY181506,L'ORCHIDEE  N°2 ROSE - BLUSH  15 GR,SELEKTIF TEKLİ,SISLEY,3473311815064,1-MA-00,MAKYAJ,KADIN,SSL0000000137,L'ORCHIDEE  N°2 ROSE - BLUSH 
SLY181507,L'ORCHIDEE N°3 CORAIL- BLUSH  15 GR,SELEKTIF TEKLİ,SISLEY,3473311815071,1-MA-00,MAKYAJ,KADIN,SSL0000000138,L'ORCHIDEE N°3 CORAIL- BLUSH 
SLY181508,L'ORCHIDEE HIGHLIGHTER,SELEKTIF TEKLİ,SISLEY,3473311815088,1-MA-00,MAKYAJ,UNISEX,,
SLY181522,PHYTO-EYE PALETTE 1 TENDER TOFFEE,SELEKTIF TEKLİ,SISLEY,3473311815224,1-MA-00,MAKYAJ,KADIN,,
SLY181523,PHYTO-EYE PALETTE 2 BOIS DE ROSE,SELEKTIF TEKLİ,SISLEY,3473311815231,1-MA-00,MAKYAJ,KADIN,,
SLY182011,"LE PHYTO-BLUSH 1 PINK PEONY 6,5 GR",SELEKTIF TEKLİ,SISLEY,3473311820112,1-MA-00,MAKYAJ,KADIN,SSL0000000147,LE PHYTO-BLUSH 1 PINK PEONY
SLY182012,"LE PHYTO-BLUSH 2 ROSY FUSHIA 6,5 GR",SELEKTIF TEKLİ,SISLEY,3473311820129,1-MA-00,MAKYAJ,KADIN,SSL0000000148,LE PHYTO-BLUSH 2 ROSY FUSHIA
SLY182013,"LE PHYTO-BLUSH 3 CORAL 6,5 GR",SELEKTIF TEKLİ,SISLEY,3473311820136,1-MA-00,MAKYAJ,KADIN,SSL0000000149,LE PHYTO-BLUSH 3 CORAL
SLY182014,"LE PHYTO-BLUSH 4 GOLDEN ROSE 6,5 GR",SELEKTIF TEKLİ,SISLEY,3473311820143,1-MA-00,MAKYAJ,KADIN,SSL0000000150,LE PHYTO-BLUSH 4 GOLDEN ROSE
SLY182015,"LE PHYTO-BLUSH 5 ROSEWOOD 6,5 GR",SELEKTIF TEKLİ,SISLEY,3473311820150,1-MA-00,MAKYAJ,KADIN,SSL0000000151,LE PHYTO-BLUSH 5 ROSEWOOD
SLY182016,"LE PHYTO-BLUSH 6 SHIMMER 6,5 GR",SELEKTIF TEKLİ,SISLEY,3473311820167,1-MA-00,MAKYAJ,KADIN,SSL0000000152,LE PHYTO-BLUSH 6 SHIMMER
SLY183041,PHYTO-POUDRE COMPACTE N°1 ROSY 12 GR,SELEKTIF TEKLİ,SISLEY,3473311830418,1-MA-00,MAKYAJ,KADIN,SSL0000000104,PHYTO-POUDRE COMPACTE N°1 ROSY
SLY183042,PHYTO-POUDRE COMPACTE N°2 NATURAL 12 GR,SELEKTIF TEKLİ,SISLEY,3473311830425,1-MA-00,MAKYAJ,KADIN,SSL0000000105,PHYTO-POUDRE COMPACTE N°2 NATURAL
SLY183043,PHYTO-POUDRE COMPACTE N°3 SANDY 12 GR,SELEKTIF TEKLİ,SISLEY,3473311830432,1-MA-00,MAKYAJ,KADIN,SSL0000000106,PHYTO-POUDRE COMPACTE N°3 SANDY
SLY183044,PHYTO-POUDRE COMPACTE N°4 BRONZE 12 GR,SELEKTIF TEKLİ,SISLEY,3473311830449,1-MA-00,MAKYAJ,KADIN,SSL0000000107,PHYTO-POUDRE COMPACTE N°4 BRONZE
SLY183051,BLUR EXPERT 11 GR,SELEKTIF TEKLİ,SISLEY,3473311830517,1-MA-00,MAKYAJ,KADIN,SSL0000000109,BLUR EXPERT
SLY184003,SUN GLOW TRIO HONEY CINNAMON,SELEKTIF TEKLİ,SISLEY,3473311840035,1-MA-00,MAKYAJ,KADIN,SSL0000000154,PHYTO TOUCHE SUN GLOW POWDER N°1 (TRIO HONEY CINNAMON)
