,,,,,,,,,,,,,,,
MARKA,Ürün Adı,BARKOD-1,REFERANS-1,BARKOD-2,REFERANS-2,BARKOD-3,REFERANS-3,BARKOD-4,REFERANS-4,BARKOD-5,REFERANS-5,BARKOD-6,REFERANS-6,UNIQ KOD,UNIQ ÜRÜN ADI
RABANNE,INVICTUS VICTORY ABSOLU 100 ML,3349668641833,PPR65215210,,,,,,,,,,, PPR000000149, INVICTUS VICTORY ABSOLU 100 ML
RABANNE,INVICTUS VICTORY ABSOLU 50 ML,3349668641826,PPR65215209,,,,,,,,,,, PPR000000150, INVICTUS VICTORY ABSOLU 50 ML
RABANNE,INVICTUS PARFUM,,,,,,,,,,,,,,
RABANNE,INVICTUS PARFUM 200 ML,3349668627547,PPR65199571,,,,,,,,,,, PPR000000128, INVICTUS PARFUM 200 ML
RABANNE,INVICTUS PARFUM 100 ML,3349668627530,PPR65199570,,,,,,,,,,, PPR000000129, INVICTUS PARFUM 100 ML
RABANNE,INVICTUS PARFUM 50 ML,3349668627523,PPR65199569,,,,,,,,,,, PPR000000130, INVICTUS PARFUM 50 ML
RABANNE,INVICTUS ELIXIR,,,,,,,,,,,,,,
RABANNE,INVICTUS ELIXIR 200 ML,3349668662685,PPR65228349,,,,,,,,,,,,
RABANNE,INVICTUS ELIXIR 100 ML,3349668664733,PPR65229792,,,,,,,,,,,,
RABANNE,INVICTUS ELIXIR 50 ML,3349668662678,PPR65228348,,,,,,,,,,,,
RABANNE,OLYMPÉA SOLAR INTENSE,,,,,,,,,,,,,,
RABANNE,OLYMPÉA SOLAR EDP INTENSE 80 ML,3349668599417,PPR65176239,,,,,,,,,,, PPR000000107, OLYMPEA SOLAR EDP INTENSE 80 ML
RABANNE,OLYMPÉA SOLAR EDP INTENSE 50 ML,3349668599448,PPR65176242,,,,,,,,,,, PPR000000108, OLYMPEA SOLAR EDP INTENSE 50 ML
RABANNE,OLYMPÉA,,,,,,,,,,,,,,
RABANNE,OLYMPÉA EDP 80 ML,3349668528677,PPR65095775,3349668612635,PPR65187140,,,,,,,,, PPR000000044, OLYMPEA EDP 80 ML
RABANNE,OLYMPÉA EDP 50 ML,3349668568093,PPR65137847,3349668528660,PPR65095773,3349668679249,PPR65250755,,,,,,, PPR000000003, OLYMPEA EDP 50ML
RABANNE,OLYMPÉA DEO SPRAY 150 ML,3349668528745,PPR65095801,,,,,,,,,,, PPR000000046, OLYMPEA DEO SPRAY 150 ML
RABANNE,OLYMPÉA PARFUM,,,,,,,,,,,,,,
RABANNE,OLYMPEA PARFUM 80 ML,3349668627479,PPR65199563,,,,,,,,,,, PPR000000131, OLYMPEA PARFUM 80 ML
RABANNE,OLYMPEA PARFUM 50 ML,3349668627462,PPR65199562,,,,,,,,,,, PPR000000132, OLYMPEA PARFUM 50 ML
RABANNE,OLYMPEA ABSOLU,,,,,,,,,,,,,,
RABANNE,OLYMPEA ABSOLU 80 ML,3349668641772,PPR65215203,,,,,,,,,,, PPR000000151, OLYMPEA ABSOLU 80 ML
RABANNE,OLYMPEA ABSOLU 50 ML,3349668641765,PPR65215202,,,,,,,,,,, PPR000000152, OLYMPEA ABSOLU 50 ML
RABANNE,OLYMPEA ELIXIR,,,,,,,,,,,,,,
RABANNE,OLYMPEA ELIXIR 80 ML,3349668662937,PPR65228780,,,,,,,,,,,,
RABANNE,OLYMPEA ELIXIR 50 ML,3349668662920,PPR65228779,,,,,,,,,,,,
RABANNE,PHANTOM,,,,,,,,,,,,,,
RABANNE,PHANTOM EDT 100 ML,3349668582297,PPR65158923,,,,,,,,,,, PPR000000057, PHANTOM EDT 100 ML
RABANNE,PHANTOM EDT 50 ML,3349668582365,PPR65159116,,,,,,,,,,, PPR000000058, PHANTOM EDT 50 ML
RABANNE,PHANTOM DEO SPRAY 150 ML,3349668583485,PPR65160369,,,,,,,,,,, PPR000000059, PHANTOM DEO SPRAY 150 ML
RABANNE,PHANTOM PARFUM,,,,,,,,,,,,,,
RABANNE,PHANTOM PARFUM 100 ML,3349668614592,PPR65188737,,,,,,,,,,, PPR000000122, PHANTOM PARFUM 100 ML
RABANNE,PHANTOM PARFUM 50 ML,3349668614585,PPR65188736,,,,,,,,,,, PPR000000123, PHANTOM PARFUM 50 ML
RABANNE,PHANTOM INTENSE,,,,,,,,,,,,,,
RABANNE,PHANTOM INTENSE EDP 100 ML,3349668630035,PPR65200224,,,,,,,,,,, PPR000000133, PHANTOM EDP INTENSE 100 ML
RABANNE,PHANTOM INTENSE EDP 50 ML,3349668630028,PPR65200223,,,,,,,,,,, PPR000000134, PHANTOM EDP INTENSE 50 ML
RABANNE,PHANTOM RE25,,,,,,,,,,,,,,
RABANNE,PHANTOM ELIXIR EDP 100 ML,3349668644049,PPR65215598,,,,,,,,,,, PPR000000153, PHANTOM RE25 100 ML
RABANNE,PHANTOM ELIXIR EDP 50 ML,3349668644063,PPR65215600,,,,,,,,,,, PPR000000154, PHANTOM RE25 50 ML
RABANNE,PHANTOM PARFUM ELIXIR,,,,,,,,,,,,,,
RABANNE,PHANTOM IN RED PARFUM ELIXIR 100 ML ,3349668661640,PPR65227767,,,,,,,,,,,,
RABANNE,PHANTOM IN RED PARFUM ELIXIR 50 ML ,3349668661916,PPR65227968,,,,,,,,,,,,
RABANNE,FAME,,,,,,,,,,,,,,
